Category: All categories

Region,exgirlfriend: (2018)
Rhode Island,
Montana,100
Wisconsin,100
Indiana,92
Maine,92
Mississippi,92
Vermont,84
West Virginia,84
Kansas,76
New Mexico,76
Arizona,76
Idaho,
Iowa,69
Pennsylvania,69
Tennessee,69
Florida,69
Texas,69
Ohio,69
Michigan,69
California,69
Georgia,69
Louisiana,61
Nevada,61
New York,61
Massachusetts,61
Washington,61
Nebraska,61
Minnesota,53
Alaska,
Delaware,
Colorado,53
Kentucky,53
Virginia,53
North Carolina,53
Maryland,53
District of Columbia,53
Illinois,53
Connecticut,46
New Jersey,46
Utah,46
Oklahoma,46
New Hampshire,46
Missouri,46
South Carolina,46
Alabama,38
Hawaii,38
Oregon,38
Arkansas,38
North Dakota,
South Dakota,
Wyoming,
