Category: All categories

Region,exgirlfriend: (2011)
North Dakota,
South Dakota,
Wyoming,
Mississippi,100
West Virginia,87
Nevada,81
Ohio,79
Indiana,78
Kentucky,78
Arkansas,76
Texas,75
Tennessee,74
Kansas,73
Arizona,70
Colorado,70
Louisiana,69
Washington,69
Wisconsin,69
Massachusetts,66
New Mexico,66
Michigan,65
Alaska,
Nebraska,64
Iowa,64
Illinois,64
Missouri,63
Virginia,62
New Hampshire,62
Rhode Island,
South Carolina,61
Georgia,60
Delaware,
Utah,59
District of Columbia,58
Minnesota,58
North Carolina,58
California,58
Oklahoma,56
New York,56
Maine,55
Pennsylvania,55
Connecticut,54
Alabama,54
Florida,52
Oregon,51
New Jersey,50
Idaho,
Hawaii,45
Maryland,38
Montana,36
Vermont,25
