Category: All categories

Region,exgirlfriend: (2013)
Wyoming,
Maine,100
Alaska,
Kentucky,77
Oklahoma,75
Iowa,75
Louisiana,74
Mississippi,74
Wisconsin,73
Tennessee,72
West Virginia,71
Ohio,69
Idaho,
Arkansas,67
Texas,66
Michigan,65
Washington,65
Missouri,65
Pennsylvania,63
Illinois,63
Montana,62
Arizona,62
Nevada,62
Colorado,61
Indiana,60
Kansas,57
Florida,56
South Carolina,56
New Hampshire,55
Minnesota,54
Nebraska,53
North Carolina,53
New Mexico,51
Virginia,51
Georgia,50
Delaware,
California,49
Maryland,48
Connecticut,46
District of Columbia,45
New Jersey,44
Massachusetts,44
Vermont,43
New York,43
Hawaii,42
Utah,42
Rhode Island,
Alabama,39
Oregon,37
North Dakota,
South Dakota,
