Category: All categories

Region,exgirlfriend: (2021)
South Dakota,
West Virginia,100
North Dakota,
Hawaii,50
Louisiana,50
Maryland,42
New Mexico,42
Rhode Island,
Idaho,
Washington,35
Connecticut,35
Massachusetts,35
Tennessee,35
Kentucky,35
Iowa,35
Ohio,35
Mississippi,28
Oregon,28
Pennsylvania,28
Oklahoma,28
Arkansas,28
Alabama,28
Florida,28
Georgia,28
South Carolina,28
Texas,28
New York,28
California,28
Illinois,28
Minnesota,21
Arizona,21
Indiana,21
New Jersey,21
North Carolina,21
Michigan,21
Wisconsin,21
Maine,21
Kansas,21
Colorado,21
Nebraska,21
Virginia,14
Utah,14
Alaska,
District of Columbia,
Delaware,
Missouri,
Montana,
New Hampshire,
Nevada,
Vermont,
Wyoming,
