Category: All categories

Region,exgirlfriend: (2012)
Vermont,100
Kentucky,95
Montana,91
Maine,89
North Dakota,
New Mexico,87
Arkansas,86
Louisiana,85
South Dakota,
Indiana,83
Illinois,81
Nevada,81
Missouri,80
Georgia,80
Colorado,79
Mississippi,79
Ohio,78
Texas,78
Alaska,
Iowa,77
Tennessee,75
North Carolina,75
Wisconsin,74
Hawaii,74
Arizona,73
Michigan,73
Nebraska,73
Alabama,73
Kansas,72
Oklahoma,71
Virginia,71
South Carolina,70
Washington,68
Minnesota,66
Florida,66
Pennsylvania,65
Utah,63
West Virginia,62
Oregon,62
Massachusetts,59
Rhode Island,
California,54
District of Columbia,52
Connecticut,52
Idaho,
New York,49
New Jersey,47
Maryland,42
New Hampshire,41
Delaware,
Wyoming,
