Category: All categories

Region,feeling alone: (2015)
Virginia,100
West Virginia,66
Mississippi,60
New Mexico,59
South Carolina,59
Tennessee,58
Arkansas,55
Arizona,55
Nebraska,53
Nevada,53
Wisconsin,53
Kentucky,52
Louisiana,50
Oklahoma,49
Pennsylvania,49
Oregon,48
Illinois,48
Ohio,48
Georgia,47
Florida,47
Texas,47
Michigan,47
North Carolina,47
New York,45
Missouri,44
Iowa,44
Massachusetts,43
Kansas,43
Indiana,42
New Jersey,41
California,41
Washington,40
Maryland,39
Minnesota,39
Colorado,36
Connecticut,36
Alabama,33
Utah,26
Idaho,
Rhode Island,
Maine,
North Dakota,
Hawaii,
District of Columbia,
Alaska,
Delaware,
Wyoming,
Vermont,
New Hampshire,
Montana,
South Dakota,
