Category: All categories

Region,feeling alone: (2014)
Nebraska,100
Mississippi,95
Arkansas,91
Virginia,89
Kansas,83
Kentucky,75
South Carolina,73
Pennsylvania,71
Colorado,71
Maryland,70
Nevada,70
Alabama,69
Georgia,68
Texas,68
Ohio,68
Wisconsin,68
West Virginia,67
New Jersey,66
Connecticut,65
New York,64
Missouri,62
Illinois,62
Oklahoma,62
Arizona,60
Louisiana,58
California,57
Florida,57
Indiana,56
North Carolina,56
Massachusetts,53
Michigan,52
Minnesota,52
Iowa,52
Utah,51
Washington,50
New Mexico,46
Tennessee,46
Oregon,35
North Dakota,
South Dakota,
Idaho,
Maine,
Vermont,
Hawaii,
Delaware,
Wyoming,
Alaska,
New Hampshire,
Rhode Island,
District of Columbia,
Montana,
