Category: All categories

Region,feeling alone: (2021)
Kentucky,100
Indiana,91
Mississippi,86
Kansas,85
West Virginia,84
New Mexico,83
Pennsylvania,83
Utah,82
Alabama,82
Oklahoma,78
Missouri,78
Connecticut,76
Tennessee,74
Michigan,73
South Carolina,73
New Jersey,72
Georgia,72
Nevada,71
Louisiana,70
Ohio,69
Virginia,69
Wisconsin,68
Colorado,68
Maryland,68
Texas,66
North Carolina,65
Illinois,64
Washington,64
Florida,64
Oregon,63
Minnesota,62
Nebraska,62
Arizona,60
California,59
Massachusetts,59
New York,57
Iowa,50
Arkansas,49
Hawaii,
Maine,
Wyoming,
Delaware,
Alaska,
Rhode Island,
District of Columbia,
New Hampshire,
Idaho,
South Dakota,
Montana,
North Dakota,
Vermont,
