Category: All categories

Region,feeling alone: (2018)
Mississippi,100
West Virginia,93
Oklahoma,93
Kentucky,92
Nebraska,88
Utah,85
Arkansas,85
Missouri,83
Indiana,82
Pennsylvania,81
Ohio,80
North Carolina,79
Tennessee,77
Michigan,77
Massachusetts,76
Wisconsin,76
Illinois,71
New York,71
Alabama,66
Texas,66
South Carolina,66
New Jersey,66
Arizona,66
Colorado,65
Kansas,65
Virginia,65
Georgia,64
Washington,64
California,63
Connecticut,63
Oregon,62
Nevada,62
Iowa,61
Minnesota,59
Florida,59
Maryland,59
New Mexico,58
Louisiana,58
Vermont,
Wyoming,
Delaware,
Montana,
Maine,
Rhode Island,
Hawaii,
Idaho,
South Dakota,
District of Columbia,
New Hampshire,
North Dakota,
Alaska,
