Category: All categories

Region,feeling alone: (2016)
New Mexico,100
South Carolina,90
Alabama,88
Kentucky,84
Pennsylvania,84
Kansas,83
Iowa,83
Ohio,83
West Virginia,81
Michigan,81
Colorado,79
Louisiana,77
Arizona,76
Tennessee,76
Nevada,75
Connecticut,74
Nebraska,73
Missouri,73
Texas,72
Georgia,71
Arkansas,71
New York,70
New Jersey,69
Indiana,69
Maryland,68
Mississippi,68
Utah,68
Florida,67
Wisconsin,66
Massachusetts,66
Oklahoma,64
Virginia,60
Illinois,60
California,60
North Carolina,58
Minnesota,57
Washington,55
Oregon,43
Maine,
South Dakota,
New Hampshire,
Idaho,
North Dakota,
Wyoming,
Delaware,
Hawaii,
Montana,
Alaska,
Rhode Island,
District of Columbia,
Vermont,
