Category: All categories

Region,feeling alone: (2010)
West Virginia,100
North Carolina,87
Kansas,81
Washington,80
Indiana,76
Utah,69
Michigan,68
Texas,67
Mississippi,66
Massachusetts,59
Wisconsin,56
New York,56
Tennessee,53
Maryland,52
Nevada,52
Connecticut,51
Missouri,51
Alabama,50
Florida,49
New Jersey,47
Pennsylvania,47
Ohio,45
Georgia,44
Louisiana,43
Kentucky,43
South Carolina,43
Oregon,40
Illinois,37
Minnesota,37
Arizona,34
Virginia,32
California,26
Colorado,23
South Dakota,
Delaware,
Montana,
North Dakota,
Maine,
Vermont,
District of Columbia,
Alaska,
Rhode Island,
Oklahoma,
New Mexico,
New Hampshire,
Nebraska,
Idaho,
Iowa,
Hawaii,
Arkansas,
Wyoming,
