Category: All categories

Region,feeling alone: (2013)
West Virginia,100
Kentucky,71
Pennsylvania,69
Tennessee,68
New Mexico,64
New Jersey,63
North Carolina,62
Maryland,61
Nebraska,60
Colorado,59
Indiana,59
Missouri,58
Georgia,58
Ohio,58
Michigan,57
Connecticut,56
Texas,55
New York,55
Virginia,55
Iowa,54
Oklahoma,54
Wisconsin,54
California,52
Kansas,52
Illinois,52
Alabama,50
South Carolina,50
Massachusetts,50
Florida,49
Minnesota,49
Utah,47
Arizona,47
Washington,45
Nevada,45
Louisiana,44
Mississippi,41
Oregon,35
Alaska,
Montana,
Delaware,
South Dakota,
Hawaii,
District of Columbia,
Maine,
Idaho,
North Dakota,
Vermont,
New Hampshire,
Rhode Island,
Arkansas,
Wyoming,
