Category: All categories

Region,hanging: (2008)
Wyoming,100
Montana,99
South Dakota,93
Maine,90
South Carolina,89
New Hampshire,89
Iowa,89
North Carolina,88
Tennessee,86
Rhode Island,86
Colorado,86
Idaho,85
North Dakota,84
Mississippi,84
Arkansas,82
Nebraska,82
Kentucky,82
Louisiana,82
Alabama,82
Oregon,82
Kansas,82
West Virginia,81
Oklahoma,79
Vermont,79
New Mexico,78
Indiana,78
Wisconsin,78
Texas,77
Connecticut,77
Utah,77
Minnesota,77
New York,76
Pennsylvania,75
Missouri,75
Michigan,74
Maryland,74
Arizona,72
Hawaii,71
Ohio,70
Washington,69
Alaska,69
Massachusetts,67
Nevada,67
Delaware,67
Georgia,67
Florida,66
Illinois,66
District of Columbia,66
New Jersey,66
California,59
Virginia,49
