Category: All categories

Region,hanging: (2019)
Colorado,100
North Carolina,90
Oregon,85
Montana,82
Washington,80
Utah,79
Vermont,79
Pennsylvania,78
South Carolina,78
Arkansas,75
Tennessee,75
Indiana,75
Kentucky,75
Missouri,75
Kansas,75
Minnesota,74
Alaska,74
Michigan,74
Virginia,74
Illinois,73
South Dakota,73
Iowa,73
Nebraska,73
Connecticut,72
Wisconsin,72
Ohio,72
Alabama,72
Oklahoma,71
North Dakota,71
West Virginia,70
New Hampshire,70
Louisiana,70
Idaho,69
Mississippi,69
Arizona,68
Maine,68
New York,67
Wyoming,66
Rhode Island,65
California,65
Texas,65
Delaware,64
Maryland,64
Massachusetts,64
New Jersey,64
Georgia,63
Florida,61
Nevada,60
New Mexico,57
Hawaii,54
District of Columbia,53
