Category: All categories

Region,hanging: (2016)
Colorado,100
Montana,82
North Carolina,81
Alaska,73
Vermont,71
Wyoming,71
Utah,71
Missouri,70
Oregon,70
Wisconsin,70
Virginia,69
South Dakota,68
North Dakota,68
Ohio,68
Tennessee,68
Pennsylvania,68
West Virginia,68
Nebraska,68
Minnesota,67
Kentucky,66
Maine,66
South Carolina,66
Georgia,66
Washington,65
Michigan,65
Idaho,65
Alabama,65
Iowa,65
Oklahoma,65
Indiana,64
Delaware,64
New Hampshire,64
Louisiana,64
Arkansas,64
Rhode Island,62
New Jersey,62
Illinois,61
Massachusetts,61
Connecticut,60
California,60
Mississippi,60
New York,60
Arizona,60
Kansas,60
Florida,59
Texas,59
District of Columbia,55
New Mexico,54
Maryland,53
Hawaii,50
Nevada,48
