Category: All categories

Region,hanging: (2004)
North Carolina,100
South Dakota,98
West Virginia,92
Wyoming,91
Maine,91
New Hampshire,89
Montana,88
Delaware,81
Colorado,80
Iowa,80
Wisconsin,79
Indiana,79
Connecticut,79
Nebraska,79
Arkansas,75
Mississippi,74
Minnesota,74
Vermont,73
Kansas,73
Pennsylvania,73
Kentucky,71
Virginia,71
Ohio,70
Illinois,70
Washington,70
New Jersey,69
Missouri,69
Louisiana,68
Rhode Island,67
Alaska,65
Michigan,65
Maryland,65
Florida,65
Massachusetts,64
Texas,64
Georgia,64
South Carolina,64
Nevada,63
Idaho,63
New Mexico,63
Alabama,63
Oklahoma,63
Tennessee,61
Oregon,61
North Dakota,61
Utah,60
New York,60
Hawaii,59
District of Columbia,58
California,57
Arizona,53
