Category: All categories

Region,hanging: (2015)
Colorado,100
Montana,90
Wyoming,87
North Carolina,86
West Virginia,80
Vermont,78
Maine,78
North Dakota,78
New Hampshire,78
Ohio,77
Wisconsin,76
Mississippi,75
Alaska,75
Idaho,75
Oklahoma,74
Pennsylvania,74
South Dakota,74
Michigan,74
Indiana,72
Minnesota,72
Washington,72
Delaware,71
Utah,71
Tennessee,71
Alabama,70
Iowa,70
Kentucky,70
South Carolina,70
Louisiana,69
Massachusetts,69
Arkansas,68
Rhode Island,68
Arizona,67
Nebraska,67
Missouri,66
Georgia,66
Illinois,65
Maryland,65
Connecticut,65
New Jersey,64
California,64
Florida,64
New Mexico,64
New York,64
Texas,63
District of Columbia,60
Oregon,60
Hawaii,57
Kansas,54
Nevada,54
Virginia,51
