Category: All categories

Region,self-injury: (2021)
Arkansas,
Delaware,
Utah,
Kansas,
Nebraska,
Colorado,
Massachusetts,100
Pennsylvania,100
Kentucky,
Connecticut,
Ohio,
Missouri,
Oklahoma,
Oregon,
Texas,100
Indiana,
Florida,<1
California,<1
New Jersey,
Tennessee,
New York,<1
North Carolina,<1
Michigan,
Maryland,
Illinois,<1
Washington,
Virginia,<1
Georgia,
Alaska,
Alabama,
Arizona,
District of Columbia,
Hawaii,
Iowa,
Idaho,
Louisiana,
Maine,
Minnesota,
Mississippi,
Montana,
North Dakota,
New Hampshire,
New Mexico,
Nevada,
Rhode Island,
South Carolina,
South Dakota,
Vermont,
Wisconsin,
West Virginia,
Wyoming,
