Category: All categories

Region,self-injury: (2020)
Montana,
South Dakota,
New Hampshire,
Utah,
Iowa,
Maine,
New Mexico,
Mississippi,
Kentucky,
Minnesota,
Idaho,
Arkansas,
Maryland,
Virginia,100
Oregon,
Wisconsin,
Massachusetts,100
Michigan,
Alabama,
Ohio,
Illinois,100
New York,100
Colorado,
North Carolina,100
California,<1
Georgia,
Texas,<1
Missouri,
New Jersey,
Pennsylvania,<1
Washington,
Tennessee,
Florida,<1
Alaska,
Arizona,
Connecticut,
District of Columbia,
Delaware,
Hawaii,
Indiana,
Kansas,
Louisiana,
North Dakota,
Nebraska,
Nevada,
Oklahoma,
Rhode Island,
South Carolina,
Vermont,
West Virginia,
Wyoming,
