Category: All categories

Region,family stress: (2020)
North Dakota,
District of Columbia,
Nevada,100
Kansas,100
Nebraska,95
Mississippi,90
Idaho,90
Maryland,80
New Mexico,80
Oklahoma,80
Utah,80
Kentucky,76
Arkansas,76
West Virginia,76
Indiana,71
Arizona,71
Colorado,71
Georgia,71
North Carolina,71
Missouri,66
Iowa,66
South Dakota,
Louisiana,66
Florida,66
California,66
South Carolina,66
Virginia,66
Illinois,61
New Hampshire,
Pennsylvania,61
Alabama,61
Michigan,61
Oregon,61
Minnesota,57
Massachusetts,57
Wisconsin,57
Texas,57
Montana,
New Jersey,57
Washington,57
Tennessee,52
New York,52
Ohio,47
Rhode Island,
Vermont,
Connecticut,42
Maine,
Hawaii,
Delaware,
Alaska,
Wyoming,
