Category: All categories

Region,family stress: (2016)
South Dakota,
North Dakota,
Mississippi,100
Nebraska,95
Hawaii,
Utah,90
Vermont,
Minnesota,85
District of Columbia,
Wyoming,
West Virginia,80
Virginia,75
Wisconsin,75
New Hampshire,
Arkansas,70
Kentucky,70
Ohio,70
Iowa,70
Indiana,70
Maryland,70
Louisiana,65
North Carolina,65
Tennessee,65
Delaware,
Oregon,65
Alabama,60
Idaho,60
Pennsylvania,60
South Carolina,60
Connecticut,60
New Jersey,60
Illinois,60
Maine,
Kansas,60
Texas,60
Georgia,55
Florida,55
Michigan,55
New York,55
Montana,
Missouri,50
Massachusetts,50
California,50
Oklahoma,50
Colorado,50
Arizona,50
Washington,45
New Mexico,45
Alaska,
Rhode Island,
Nevada,
