Category: All categories

Region,family stress: (2014)
Delaware,
Arkansas,100
Idaho,92
Wyoming,
Nebraska,77
Iowa,74
Wisconsin,66
Connecticut,62
Ohio,59
Indiana,55
North Carolina,55
Utah,55
Alaska,
Vermont,
Kentucky,51
Tennessee,51
Missouri,51
Illinois,48
Montana,
Michigan,48
Pennsylvania,48
Alabama,48
Kansas,48
Massachusetts,48
Arizona,44
Maryland,44
New Mexico,44
South Carolina,44
Colorado,44
South Dakota,
Oklahoma,40
Mississippi,40
Washington,37
California,37
Minnesota,37
Florida,37
Georgia,37
District of Columbia,
Nevada,37
Texas,33
New York,29
New Hampshire,
Hawaii,
New Jersey,29
Virginia,29
Louisiana,25
West Virginia,25
Maine,
Oregon,18
North Dakota,
Rhode Island,
