Category: All categories

Region,no friends: (2010)
Rhode Island,100
Hawaii,81
Montana,75
New Jersey,74
Alabama,73
South Dakota,73
Mississippi,69
Pennsylvania,68
West Virginia,67
Connecticut,65
North Carolina,64
Florida,64
Wisconsin,64
Massachusetts,63
Louisiana,62
Michigan,62
New York,61
South Carolina,61
Missouri,60
Ohio,60
Kansas,60
Utah,58
Kentucky,58
Idaho,57
Alaska,57
Maine,56
Texas,56
Maryland,55
Tennessee,55
Indiana,55
Illinois,54
Arizona,52
Colorado,51
District of Columbia,50
Nebraska,50
Washington,48
Nevada,48
Georgia,47
New Hampshire,45
Delaware,44
New Mexico,43
Oklahoma,42
Minnesota,41
California,41
Vermont,41
Wyoming,40
Virginia,38
Iowa,34
Arkansas,32
Oregon,31
North Dakota,23
