Category: All categories

Region,no friends: (2021)
Wyoming,100
Hawaii,88
Delaware,87
Oklahoma,87
District of Columbia,85
Louisiana,82
Kentucky,82
West Virginia,82
Nevada,80
Alaska,80
New Jersey,79
Massachusetts,79
Connecticut,78
Nebraska,78
Michigan,78
Mississippi,77
North Dakota,76
New Mexico,76
Washington,75
South Dakota,75
North Carolina,75
Georgia,74
Wisconsin,74
New Hampshire,74
Texas,74
Kansas,74
Pennsylvania,73
Missouri,73
Oregon,73
Virginia,73
Utah,72
Arizona,72
Indiana,72
Rhode Island,72
Iowa,71
Maryland,71
Colorado,71
Ohio,70
Idaho,70
Arkansas,69
Alabama,69
Illinois,69
Maine,69
South Carolina,69
Florida,68
Tennessee,68
Minnesota,68
Vermont,67
California,66
Montana,64
New York,64
