Category: All categories

Region,no friends: (2019)
Delaware,100
Rhode Island,90
Wyoming,88
Kansas,86
Massachusetts,84
Utah,81
South Carolina,81
Maryland,81
Kentucky,80
New Hampshire,80
Oklahoma,80
Arkansas,79
Michigan,77
Connecticut,76
Virginia,75
Indiana,75
New Mexico,75
Georgia,75
Illinois,74
Texas,74
New Jersey,74
District of Columbia,74
Pennsylvania,74
Alabama,73
Alaska,73
California,72
Colorado,72
Minnesota,71
Oregon,71
Louisiana,71
North Carolina,71
South Dakota,71
Ohio,71
Maine,70
Wisconsin,70
Mississippi,70
Missouri,69
Arizona,69
Nevada,69
West Virginia,68
Iowa,68
Washington,67
Vermont,67
Hawaii,67
New York,65
Tennessee,65
Idaho,64
Nebraska,63
Montana,62
Florida,61
North Dakota,58
