Category: All categories

Region,no friends: (2006)
Idaho,100
Hawaii,71
Wyoming,69
Mississippi,57
Vermont,54
New Mexico,50
Kentucky,48
Michigan,47
Nebraska,46
Connecticut,46
Arizona,45
Pennsylvania,42
Montana,42
Massachusetts,41
Louisiana,41
New Jersey,40
New York,38
Rhode Island,38
North Dakota,38
Alaska,36
California,35
Minnesota,35
District of Columbia,35
Virginia,34
New Hampshire,32
Iowa,31
South Carolina,30
North Carolina,30
Florida,30
Oregon,30
Oklahoma,29
Washington,29
Texas,28
Illinois,27
Utah,27
Maryland,27
Wisconsin,26
Alabama,25
Georgia,25
Ohio,25
Tennessee,25
Missouri,24
Kansas,22
Colorado,22
Arkansas,21
Maine,21
Indiana,17
Nevada,11
Delaware,
South Dakota,
West Virginia,
