Category: All categories

Region,no friends: (2014)
Hawaii,100
New Jersey,95
New Hampshire,94
Mississippi,92
South Carolina,90
New Mexico,89
Maryland,88
Massachusetts,88
Delaware,88
Pennsylvania,86
Louisiana,86
Michigan,86
Connecticut,82
Arizona,80
Ohio,80
California,80
Rhode Island,79
Alabama,79
Kentucky,79
New York,78
Arkansas,78
Nevada,77
Missouri,75
Florida,74
Kansas,74
Georgia,74
Tennessee,73
North Carolina,73
Iowa,72
Illinois,72
District of Columbia,71
Oklahoma,71
Wisconsin,71
Colorado,70
Indiana,69
Nebraska,69
Minnesota,69
West Virginia,69
Texas,68
Washington,66
North Dakota,66
Virginia,65
South Dakota,65
Maine,64
Utah,64
Alaska,58
Idaho,58
Wyoming,53
Oregon,46
Vermont,45
Montana,43
