Category: All categories

Region,no friends: (2015)
Hawaii,100
Delaware,98
Rhode Island,97
Louisiana,95
New Jersey,95
Indiana,94
Iowa,93
Connecticut,92
Massachusetts,92
Pennsylvania,85
Nevada,85
Nebraska,85
Michigan,85
Montana,85
California,85
West Virginia,84
Maryland,83
Utah,82
District of Columbia,82
South Carolina,82
New Hampshire,82
Ohio,81
Illinois,81
New York,81
Florida,80
Arizona,79
Mississippi,79
New Mexico,78
Washington,78
Georgia,77
Alaska,77
Tennessee,77
Colorado,77
Minnesota,77
Maine,76
Missouri,76
North Carolina,76
Idaho,76
Kentucky,76
Wisconsin,75
Arkansas,75
Oklahoma,75
Texas,73
Kansas,67
Alabama,67
Virginia,65
South Dakota,61
Oregon,60
Vermont,59
Wyoming,53
North Dakota,52
