Category: All categories

Region,no friends: (2018)
Rhode Island,100
Massachusetts,86
Delaware,83
Nebraska,79
South Carolina,78
Indiana,77
New Hampshire,77
New Mexico,77
Alabama,76
New Jersey,76
Maryland,76
West Virginia,75
Arkansas,75
Mississippi,75
Iowa,74
North Dakota,74
Nevada,74
North Carolina,74
Pennsylvania,74
District of Columbia,73
Connecticut,73
Oklahoma,73
Hawaii,73
Louisiana,73
Missouri,73
New York,72
Ohio,72
Kentucky,72
Idaho,72
Wisconsin,72
Georgia,71
Michigan,71
Texas,71
Arizona,71
Virginia,71
California,70
Kansas,70
Colorado,70
Vermont,69
Illinois,69
Alaska,68
Maine,66
Florida,66
Utah,66
South Dakota,65
Tennessee,65
Oregon,63
Montana,62
Washington,61
Minnesota,60
Wyoming,56
