Category: All categories

Region,no friends: (2005)
Wyoming,100
Hawaii,76
Montana,75
Vermont,61
Michigan,49
Kansas,47
New Hampshire,47
Tennessee,46
Massachusetts,45
Utah,45
Minnesota,45
Idaho,44
Maine,40
Connecticut,39
Pennsylvania,37
Arkansas,36
Maryland,34
Colorado,34
Kentucky,32
Virginia,32
California,32
New Jersey,31
District of Columbia,30
Iowa,29
Illinois,29
Oregon,28
Louisiana,28
New York,28
Oklahoma,27
Wisconsin,27
Nebraska,26
Missouri,25
Florida,25
Indiana,25
North Carolina,24
Ohio,23
Texas,22
Nevada,22
Georgia,18
Arizona,17
South Carolina,14
Washington,14
Mississippi,
South Dakota,
Rhode Island,
New Mexico,
North Dakota,
Delaware,
Alabama,
West Virginia,
Alaska,
