Category: All categories

Region,coming out: (2021)
Utah,100
West Virginia,99
Kentucky,98
Michigan,98
Arkansas,93
Oklahoma,92
Texas,91
Arizona,90
California,90
Wyoming,89
Mississippi,89
Iowa,88
Alaska,88
Maryland,88
Indiana,88
Nevada,87
Missouri,86
Alabama,86
Connecticut,86
Ohio,86
Louisiana,86
Idaho,85
Wisconsin,85
North Carolina,84
Illinois,83
Vermont,83
Minnesota,82
Massachusetts,82
South Carolina,82
Tennessee,82
New Jersey,81
New Mexico,80
North Dakota,80
Nebraska,80
New Hampshire,80
Oregon,80
Kansas,80
Pennsylvania,80
Colorado,78
South Dakota,78
Georgia,78
Washington,78
Delaware,77
Maine,76
Rhode Island,75
Virginia,73
New York,72
Montana,71
Florida,70
Hawaii,65
District of Columbia,58
