Category: All categories

Region,coming out: (2010)
West Virginia,100
South Dakota,95
Mississippi,94
Arkansas,93
Kentucky,92
Nevada,90
New Jersey,90
Alabama,90
Louisiana,89
Maine,88
Connecticut,86
Florida,86
Kansas,84
Delaware,84
Rhode Island,82
Utah,82
North Dakota,81
South Carolina,81
Tennessee,81
Oklahoma,81
Pennsylvania,81
Hawaii,81
New York,81
Texas,80
Alaska,79
Indiana,78
Missouri,78
Wyoming,77
Michigan,76
Ohio,76
Nebraska,75
Arizona,75
Montana,74
Maryland,73
North Carolina,72
New Hampshire,72
Idaho,72
Wisconsin,72
Minnesota,71
Georgia,68
Oregon,68
District of Columbia,67
Colorado,66
Illinois,66
Iowa,65
New Mexico,65
Washington,64
Vermont,63
Massachusetts,61
California,50
Virginia,41
