Category: All categories

Region,coming out: (2013)
Kentucky,100
West Virginia,97
North Dakota,91
Texas,89
Michigan,88
Rhode Island,88
New Jersey,88
Pennsylvania,87
Florida,87
Louisiana,86
Indiana,86
Georgia,86
North Carolina,86
Connecticut,85
Idaho,85
California,84
Delaware,84
Wisconsin,83
Utah,82
Illinois,81
Arizona,81
Missouri,81
Arkansas,81
Virginia,80
Mississippi,80
Kansas,80
Maryland,79
Wyoming,79
New York,79
Hawaii,79
Nevada,79
Tennessee,79
Minnesota,78
Ohio,78
Nebraska,78
Oklahoma,77
New Hampshire,77
Montana,77
South Carolina,76
Alabama,74
South Dakota,74
New Mexico,74
Iowa,74
Massachusetts,74
Washington,73
Colorado,73
Maine,73
Alaska,72
Vermont,70
District of Columbia,57
Oregon,43
