Category: All categories

Region,carbon monoxide poisoning: (2018)
Vermont,100
Alaska,96
Wyoming,88
Iowa,86
New Hampshire,84
Utah,83
Oklahoma,82
Montana,82
Idaho,80
North Dakota,80
Nebraska,79
New Mexico,76
Kansas,76
Michigan,73
West Virginia,72
Indiana,71
Missouri,71
Maine,70
South Dakota,70
Minnesota,69
Ohio,69
Delaware,66
Kentucky,65
Tennessee,65
Wisconsin,64
Arkansas,63
Pennsylvania,61
Massachusetts,59
Rhode Island,58
Illinois,58
Mississippi,58
North Carolina,55
Colorado,55
New York,54
Arizona,53
Maryland,53
Virginia,51
New Jersey,50
South Carolina,48
Georgia,47
Oregon,47
Connecticut,47
Washington,46
Alabama,45
Texas,40
California,39
Florida,39
District of Columbia,39
Louisiana,36
Hawaii,34
Nevada,33
