Category: All categories

Region,Avoidant: (2016)
Wyoming,100
Washington,91
Maine,91
Vermont,87
New Hampshire,77
Utah,77
Maryland,75
Oregon,75
Massachusetts,75
Minnesota,73
Connecticut,73
Virginia,73
New Mexico,71
Arkansas,71
Arizona,69
Colorado,69
Kansas,69
California,65
Louisiana,63
Missouri,61
Iowa,61
Pennsylvania,61
Wisconsin,61
Oklahoma,59
Nebraska,59
Kentucky,59
Idaho,59
New York,57
Illinois,57
Indiana,57
District of Columbia,57
New Jersey,55
Michigan,55
Alaska,55
Rhode Island,53
North Carolina,53
West Virginia,53
Ohio,53
Mississippi,53
South Dakota,51
Hawaii,51
Alabama,48
Georgia,48
Florida,48
Delaware,46
Texas,46
South Carolina,44
Tennessee,42
Nevada,40
Montana,36
North Dakota,32
