Category: All categories

Region,Avoidant: (2007)
Wyoming,100
West Virginia,63
Oklahoma,46
Arkansas,46
New Hampshire,27
Iowa,24
Kentucky,24
Illinois,21
Maine,21
Minnesota,19
New York,19
Washington,19
Indiana,18
Mississippi,18
Missouri,18
Hawaii,18
Nebraska,18
Michigan,18
Connecticut,18
Florida,18
Ohio,18
Pennsylvania,18
Oregon,17
District of Columbia,16
Alabama,15
North Carolina,15
Maryland,15
Colorado,15
Arizona,15
Texas,13
Georgia,13
California,13
Rhode Island,13
Utah,12
Wisconsin,12
Massachusetts,12
New Jersey,12
Tennessee,12
Louisiana,10
Virginia,9
South Carolina,6
Alaska,
Delaware,
Idaho,
Kansas,
Montana,
North Dakota,
New Mexico,
Nevada,
South Dakota,
Vermont,
