Category: All categories

Region,Avoidant: (2018)
North Dakota,100
Montana,84
Vermont,83
Washington,81
Utah,80
Oregon,66
Massachusetts,66
District of Columbia,66
Minnesota,62
New York,62
Colorado,60
Maine,60
Arkansas,60
California,60
Connecticut,60
Kansas,59
Michigan,59
Virginia,59
Maryland,59
Idaho,57
Illinois,57
South Dakota,57
Wisconsin,56
Tennessee,56
New Jersey,54
Delaware,53
Missouri,53
Arizona,53
Rhode Island,51
North Carolina,51
Ohio,50
West Virginia,50
New Mexico,48
Indiana,48
Alabama,48
Hawaii,46
Pennsylvania,46
New Hampshire,45
Kentucky,45
Wyoming,43
Georgia,43
Nebraska,43
Florida,43
Mississippi,43
Iowa,42
Oklahoma,42
Texas,40
Nevada,37
Louisiana,37
South Carolina,37
Alaska,
