Category: All categories

Region,Avoidant: (2005)
New Hampshire,100
Wyoming,98
South Dakota,66
Arkansas,54
Rhode Island,47
Mississippi,39
Vermont,39
New Mexico,36
Nevada,35
Louisiana,35
Indiana,34
Connecticut,29
Minnesota,23
Utah,23
Kansas,22
South Carolina,21
Georgia,20
Michigan,18
Oregon,18
North Carolina,17
Wisconsin,17
District of Columbia,17
Nebraska,16
Alabama,16
Virginia,14
Washington,13
Massachusetts,13
New York,13
Pennsylvania,12
Ohio,12
California,11
Maryland,11
Missouri,10
New Jersey,10
Texas,10
Florida,9
Colorado,9
Illinois,8
Tennessee,7
Arizona,4
Alaska,
Delaware,
Hawaii,
Iowa,
Idaho,
Kentucky,
Maine,
Montana,
North Dakota,
Oklahoma,
West Virginia,
