Category: All categories

Region,Avoidant: (2011)
Wyoming,100
Idaho,31
Hawaii,28
Connecticut,26
South Dakota,26
Oregon,26
Kentucky,26
Nebraska,25
Oklahoma,25
North Dakota,24
Tennessee,24
Wisconsin,23
Delaware,23
Indiana,23
Minnesota,23
Massachusetts,22
Washington,22
Montana,22
Arkansas,21
Virginia,21
Maryland,20
Michigan,20
California,20
North Carolina,20
Pennsylvania,20
Nevada,19
Maine,19
New Mexico,19
Mississippi,19
Florida,19
Illinois,19
Georgia,19
New York,18
Alabama,18
District of Columbia,18
Ohio,17
Alaska,17
Colorado,17
New Jersey,17
Texas,17
Rhode Island,17
Kansas,17
West Virginia,17
Louisiana,16
New Hampshire,15
South Carolina,15
Missouri,14
Vermont,14
Arizona,14
Utah,11
Iowa,10
