Category: All categories

Region,Avoidant: (2004)
North Dakota,100
Idaho,57
Montana,54
New Mexico,52
Kansas,39
Rhode Island,31
Arkansas,25
Iowa,22
Oregon,18
District of Columbia,17
New Jersey,12
Connecticut,10
Ohio,8
California,8
Washington,8
Pennsylvania,8
Indiana,8
Massachusetts,7
Virginia,7
North Carolina,7
Wisconsin,6
Texas,5
Minnesota,5
Florida,5
New York,5
Maryland,4
Illinois,4
Michigan,4
Alaska,
Alabama,
Arizona,
Colorado,
Delaware,
Georgia,
Hawaii,
Kentucky,
Louisiana,
Maine,
Missouri,
Mississippi,
Nebraska,
New Hampshire,
Nevada,
Oklahoma,
South Carolina,
South Dakota,
Tennessee,
Utah,
Vermont,
West Virginia,
Wyoming,
