Category: All categories

Region,Fitting in: (2011)
Delaware,100
Rhode Island,90
Alabama,84
Idaho,82
Colorado,78
Iowa,78
Louisiana,77
Ohio,75
Wisconsin,72
Mississippi,72
Indiana,72
South Carolina,70
Maryland,70
Vermont,68
Hawaii,67
Massachusetts,66
North Carolina,65
North Dakota,65
Pennsylvania,65
Michigan,63
New Jersey,63
Nevada,63
Connecticut,63
Tennessee,62
Oregon,62
Washington,60
Kentucky,59
Oklahoma,59
Kansas,59
Minnesota,58
West Virginia,58
Arkansas,57
Missouri,57
Virginia,56
New Mexico,55
New Hampshire,54
Illinois,53
Maine,53
Texas,53
Arizona,50
New York,49
Georgia,48
Montana,47
California,46
Florida,46
District of Columbia,44
Utah,38
Nebraska,37
South Dakota,22
Alaska,
Wyoming,
