Category: All categories

Region,advil: (2007)
Rhode Island,100
Connecticut,84
New Jersey,77
New York,72
Montana,68
Pennsylvania,67
Massachusetts,66
Vermont,65
Indiana,64
New Hampshire,63
Delaware,63
Maryland,62
District of Columbia,61
Wyoming,59
Illinois,57
South Dakota,55
Colorado,55
Tennessee,55
Virginia,55
Arkansas,54
North Carolina,54
Nevada,54
Mississippi,53
Florida,53
South Carolina,52
Arizona,52
Texas,52
Wisconsin,52
Louisiana,51
Washington,51
Ohio,51
Minnesota,51
Kansas,50
California,49
Georgia,49
Idaho,48
Oregon,48
Maine,47
Alabama,46
Missouri,43
Oklahoma,42
New Mexico,42
Michigan,39
West Virginia,38
Utah,37
Nebraska,34
Hawaii,34
Alaska,34
Iowa,30
Kentucky,30
North Dakota,
