Category: All categories

Region,advil: (2009)
Delaware,100
New Hampshire,91
Connecticut,82
New Jersey,79
Massachusetts,76
District of Columbia,73
Pennsylvania,73
New York,72
West Virginia,72
North Dakota,68
Maryland,65
Louisiana,64
Illinois,63
Ohio,62
Iowa,61
Maine,61
Rhode Island,60
Colorado,60
Alabama,59
Florida,59
South Carolina,57
Mississippi,57
Texas,56
Arizona,55
Oregon,54
Tennessee,53
Nevada,53
Georgia,52
Nebraska,52
Wyoming,52
Alaska,51
North Carolina,50
Indiana,49
Washington,49
Missouri,48
Minnesota,48
Wisconsin,47
Oklahoma,47
Idaho,47
Hawaii,45
Kansas,44
Kentucky,42
Michigan,40
California,40
Vermont,39
Virginia,35
South Dakota,34
Utah,33
New Mexico,33
Arkansas,33
Montana,30
