Category: All categories

Region,advil: (2006)
Maine,100
Alabama,97
Massachusetts,92
New York,88
New Jersey,86
North Carolina,85
Kentucky,81
Mississippi,80
Pennsylvania,80
Oregon,77
Colorado,75
Maryland,74
District of Columbia,74
Nebraska,70
Connecticut,70
Oklahoma,70
Minnesota,70
Florida,70
Arkansas,67
Idaho,66
Kansas,65
New Hampshire,64
Ohio,64
California,63
Illinois,62
Texas,60
Virginia,60
Alaska,59
Vermont,58
Hawaii,57
Rhode Island,57
South Carolina,56
Michigan,54
Washington,54
New Mexico,52
Indiana,51
Delaware,50
Iowa,50
Missouri,49
South Dakota,49
Georgia,48
Wisconsin,48
Arizona,46
Louisiana,44
West Virginia,41
Utah,38
Tennessee,36
Montana,35
Wyoming,35
Nevada,29
North Dakota,
