Category: All categories

Region,advil: (2005)
South Dakota,100
Mississippi,50
North Dakota,45
District of Columbia,44
Delaware,43
Connecticut,42
New York,41
New Jersey,41
New Hampshire,39
Pennsylvania,37
Massachusetts,37
Oklahoma,36
South Carolina,36
Kentucky,36
Maryland,35
Utah,35
Iowa,34
Hawaii,33
Alabama,33
Maine,33
Oregon,33
Alaska,32
Vermont,32
Colorado,31
Virginia,31
Texas,30
Indiana,30
Tennessee,30
Illinois,30
Georgia,29
California,28
Michigan,28
Washington,28
Wyoming,27
Wisconsin,27
Florida,27
Ohio,27
Rhode Island,26
North Carolina,26
West Virginia,26
Louisiana,23
Arizona,21
Minnesota,21
Nebraska,21
New Mexico,19
Missouri,19
Kansas,14
Arkansas,14
Nevada,10
Idaho,
Montana,
