Category: All categories

Region,anxiety: (2006)
Rhode Island,100
North Dakota,90
Vermont,90
Idaho,89
Louisiana,89
South Dakota,87
Delaware,84
Kentucky,84
Minnesota,84
Indiana,82
New Hampshire,82
Wyoming,81
Connecticut,81
Mississippi,79
West Virginia,79
North Carolina,79
Maine,79
Tennessee,79
Montana,78
Pennsylvania,76
Wisconsin,76
Iowa,76
Arkansas,75
Kansas,75
Ohio,74
Nebraska,74
Oregon,74
Michigan,74
South Carolina,73
Maryland,72
Massachusetts,72
New Mexico,72
New Jersey,72
Virginia,70
Alabama,70
Missouri,70
New York,70
Utah,69
Alaska,68
Illinois,67
Washington,67
Oklahoma,66
Georgia,65
District of Columbia,63
Colorado,62
Arizona,62
Hawaii,58
Nevada,57
Florida,56
California,55
Texas,53
