Category: All categories

Region,anxiety: (2015)
Connecticut,100
Kentucky,96
Wisconsin,95
Massachusetts,94
North Dakota,93
Minnesota,92
Pennsylvania,92
Maine,92
West Virginia,92
Ohio,91
Vermont,90
Iowa,89
South Dakota,88
Michigan,88
Rhode Island,87
New York,86
New Hampshire,86
Washington,85
Indiana,85
Missouri,84
Montana,83
North Carolina,83
New Jersey,83
Delaware,82
Tennessee,82
Utah,82
Maryland,81
Arizona,81
Louisiana,80
Illinois,80
Florida,78
Arkansas,78
Colorado,77
Oklahoma,77
Alabama,76
District of Columbia,76
Wyoming,75
Alaska,75
New Mexico,75
California,75
Mississippi,75
Nebraska,74
South Carolina,74
Nevada,73
Georgia,73
Idaho,71
Kansas,71
Texas,69
Oregon,65
Hawaii,60
Virginia,53
