Category: All categories

Region,anxiety: (2019)
New Hampshire,100
Maine,99
Connecticut,99
Massachusetts,98
West Virginia,98
Rhode Island,97
Utah,94
Pennsylvania,93
Ohio,92
Michigan,91
Kentucky,91
Minnesota,91
Indiana,89
Oklahoma,89
Illinois,89
Oregon,88
Wisconsin,87
Vermont,87
Missouri,87
Tennessee,86
Maryland,85
Virginia,85
Iowa,84
New Mexico,84
Arkansas,84
Kansas,83
Idaho,83
North Carolina,82
Arizona,82
Washington,82
New Jersey,82
Louisiana,82
Colorado,81
Georgia,81
New York,79
Alabama,79
Nebraska,79
South Carolina,78
North Dakota,77
Texas,76
Delaware,76
Nevada,75
Mississippi,74
South Dakota,74
California,73
Wyoming,72
Montana,69
Florida,69
Alaska,69
Hawaii,67
District of Columbia,62
