Category: All categories

Region,anxiety: (2011)
Maine,100
Pennsylvania,98
Minnesota,98
New Hampshire,95
Rhode Island,95
Vermont,93
North Dakota,92
Connecticut,91
South Dakota,89
West Virginia,88
Massachusetts,87
Wisconsin,86
Indiana,84
Ohio,84
Mississippi,83
Illinois,82
Maryland,82
Michigan,82
New Jersey,81
Montana,81
North Carolina,81
New York,81
New Mexico,81
Washington,80
Kentucky,80
Virginia,79
Delaware,79
Arizona,77
Tennessee,77
Missouri,76
Nebraska,75
Arkansas,75
Georgia,75
Florida,74
Oregon,74
Idaho,74
Utah,74
District of Columbia,74
Colorado,74
California,74
Wyoming,73
Louisiana,73
Alaska,73
Iowa,73
Oklahoma,72
South Carolina,71
Kansas,71
Texas,71
Alabama,70
Hawaii,68
Nevada,66
