Category: All categories

Region,anxiety: (2014)
Pennsylvania,100
Kentucky,99
Massachusetts,95
Maine,94
Rhode Island,91
North Dakota,91
Vermont,91
Ohio,90
Minnesota,89
West Virginia,88
New Hampshire,88
Connecticut,88
North Carolina,87
Delaware,87
Wyoming,87
Wisconsin,84
Illinois,84
Tennessee,84
Indiana,83
New Jersey,82
Iowa,81
Utah,81
Louisiana,81
Michigan,81
New York,81
Montana,80
Maryland,80
Washington,80
Missouri,79
Arizona,79
Alabama,79
South Carolina,79
South Dakota,78
Florida,77
Idaho,77
Oklahoma,77
Kansas,77
Nevada,76
Arkansas,75
New Mexico,75
District of Columbia,75
California,75
Colorado,73
Alaska,72
Georgia,72
Nebraska,71
Mississippi,69
Texas,69
Hawaii,63
Virginia,56
Oregon,51
