Category: All categories

Region,anxiety: (2005)
New Hampshire,100
Vermont,95
Maine,91
West Virginia,90
Utah,88
Massachusetts,88
Rhode Island,85
Minnesota,84
Kentucky,83
Iowa,81
Connecticut,79
Wisconsin,79
Pennsylvania,78
Arkansas,77
North Dakota,77
Michigan,76
Oregon,76
Maryland,76
Ohio,75
Montana,75
Wyoming,75
Alabama,74
Oklahoma,74
Louisiana,74
New Jersey,73
Kansas,72
Indiana,72
Idaho,72
Virginia,71
Illinois,71
New York,70
Mississippi,70
Arizona,70
South Carolina,69
Washington,69
Nebraska,68
Tennessee,68
Missouri,67
North Carolina,67
New Mexico,67
Colorado,67
Florida,66
California,65
Georgia,61
Nevada,61
Texas,61
Hawaii,60
District of Columbia,58
Delaware,57
Alaska,57
South Dakota,50
