Category: All categories

Region,breakup: (2016)
Alaska,100
New York,94
California,93
Rhode Island,90
Kansas,88
Wyoming,88
New Hampshire,85
West Virginia,84
District of Columbia,83
Illinois,83
Hawaii,82
Arkansas,80
Maine,79
Connecticut,78
New Jersey,77
New Mexico,77
Kentucky,75
Maryland,75
Texas,75
Oklahoma,75
Utah,75
Missouri,74
Tennessee,74
Mississippi,74
Nebraska,74
Florida,74
Louisiana,74
Georgia,74
Alabama,73
Colorado,73
Vermont,73
Oregon,73
Massachusetts,73
Delaware,73
Nevada,72
Arizona,72
North Dakota,72
Pennsylvania,72
Idaho,72
Iowa,72
Montana,71
Indiana,70
Wisconsin,70
Virginia,70
South Carolina,70
South Dakota,68
Minnesota,67
Washington,66
Michigan,66
North Carolina,66
Ohio,64
