Category: All categories

Region,breakup: (2020)
Rhode Island,100
District of Columbia,98
North Dakota,94
California,94
Alaska,90
Hawaii,86
New Jersey,86
New York,86
New Hampshire,86
Pennsylvania,85
Vermont,84
Illinois,84
Connecticut,82
Massachusetts,82
Texas,82
Utah,81
North Carolina,81
Georgia,81
Nevada,81
Michigan,80
Oregon,79
New Mexico,79
Delaware,79
Idaho,79
Virginia,78
Louisiana,78
West Virginia,78
Arkansas,77
Maryland,77
Maine,76
South Dakota,76
Iowa,76
Wyoming,76
Nebraska,75
Minnesota,75
Ohio,75
Oklahoma,74
Colorado,74
Arizona,74
Alabama,74
Montana,73
Washington,72
Kansas,72
Florida,72
Mississippi,71
Tennessee,70
South Carolina,70
Kentucky,70
Missouri,69
Wisconsin,69
Indiana,68
