Category: All categories

Region,breakup: (2004)
North Dakota,100
Delaware,68
New Hampshire,62
Kentucky,58
Wyoming,57
Connecticut,52
Massachusetts,47
New Jersey,47
New York,46
Rhode Island,46
Georgia,45
South Carolina,44
Pennsylvania,43
Illinois,42
Virginia,42
Maryland,41
Wisconsin,40
South Dakota,39
District of Columbia,38
Hawaii,38
Oklahoma,37
Maine,37
Minnesota,37
Louisiana,37
Michigan,37
Tennessee,36
Alaska,36
Texas,35
New Mexico,35
Arizona,35
Missouri,35
Oregon,34
North Carolina,34
California,34
Washington,34
Ohio,31
Colorado,31
Nebraska,31
Kansas,29
Florida,29
Indiana,28
Montana,26
Alabama,25
Vermont,25
Idaho,21
Arkansas,21
Nevada,21
Iowa,20
Utah,20
West Virginia,17
Mississippi,14
