Category: All categories

Region,breakup: (2006)
South Dakota,100
Rhode Island,67
Mississippi,63
Indiana,58
North Dakota,58
Illinois,58
Montana,56
Wisconsin,55
Tennessee,53
Kentucky,52
Massachusetts,52
Alabama,52
Pennsylvania,52
Kansas,51
Oklahoma,50
New York,50
Louisiana,50
West Virginia,50
Ohio,49
New Jersey,49
Alaska,48
Maryland,48
Wyoming,48
Connecticut,47
Michigan,47
Nevada,46
Nebraska,46
Virginia,46
Vermont,46
Texas,45
New Mexico,45
South Carolina,44
Missouri,44
Hawaii,44
Idaho,44
California,43
Arkansas,43
New Hampshire,43
Georgia,42
Washington,42
North Carolina,42
Colorado,42
District of Columbia,41
Minnesota,41
Iowa,41
Florida,41
Maine,36
Utah,33
Arizona,33
Oregon,33
Delaware,27
