Category: All categories

Region,breakup: (2017)
New York,100
Pennsylvania,98
Alaska,97
District of Columbia,96
Hawaii,94
California,94
Louisiana,92
Connecticut,91
Delaware,90
Vermont,90
Rhode Island,89
Montana,88
Massachusetts,88
Kentucky,88
Kansas,88
Illinois,88
Maine,87
Arkansas,86
Nevada,85
New Mexico,85
Mississippi,85
Texas,85
New Jersey,84
South Dakota,83
Oklahoma,83
Colorado,83
North Dakota,81
Missouri,81
Alabama,81
South Carolina,81
Wisconsin,81
West Virginia,80
Florida,80
Iowa,79
Indiana,79
New Hampshire,79
Arizona,79
Georgia,78
Tennessee,77
Maryland,77
Washington,76
Minnesota,76
Ohio,76
Utah,76
Oregon,75
Nebraska,74
North Carolina,73
Virginia,72
Michigan,71
Idaho,70
Wyoming,65
