Category: All categories

Region,breakup: (2013)
Alaska,100
Illinois,98
Delaware,96
New York,96
District of Columbia,95
Rhode Island,93
New Mexico,93
Hawaii,93
California,88
Louisiana,88
North Dakota,87
Mississippi,84
South Carolina,84
Connecticut,83
Texas,83
Idaho,83
New Hampshire,83
Arkansas,83
New Jersey,82
Massachusetts,82
Virginia,82
Indiana,81
Arizona,81
Maine,81
Minnesota,80
Michigan,80
West Virginia,79
Pennsylvania,79
Washington,79
Colorado,78
Montana,78
Nevada,78
Missouri,77
Maryland,77
Tennessee,77
Kentucky,76
Oklahoma,75
Alabama,75
Ohio,75
Florida,75
Kansas,73
Georgia,72
Utah,72
Wyoming,72
Iowa,72
North Carolina,72
Wisconsin,71
Nebraska,70
Vermont,70
South Dakota,61
Oregon,51
