Category: All categories

Region,breakup: (2007)
Delaware,100
Kentucky,82
Rhode Island,81
Maine,81
South Dakota,81
Connecticut,78
New Jersey,73
Pennsylvania,71
Louisiana,70
Mississippi,68
Alaska,68
Hawaii,67
New York,67
Missouri,66
Kansas,65
Michigan,64
Ohio,64
Alabama,64
Oklahoma,64
North Dakota,64
North Carolina,64
Massachusetts,63
Montana,63
New Hampshire,63
Wisconsin,62
Illinois,62
Iowa,62
Arkansas,62
Tennessee,61
Georgia,61
South Carolina,60
Maryland,59
Indiana,59
Florida,58
Washington,58
Texas,57
West Virginia,57
Nebraska,56
Minnesota,55
Idaho,54
District of Columbia,54
Oregon,53
Nevada,53
Vermont,53
Virginia,52
California,50
Colorado,49
New Mexico,48
Wyoming,48
Utah,46
Arizona,46
