Category: All categories

Region,breakup: (2008)
Rhode Island,100
Hawaii,90
Wyoming,85
South Dakota,85
Delaware,84
Mississippi,82
Louisiana,82
Nevada,78
North Dakota,77
Nebraska,75
New Jersey,74
Kentucky,73
Massachusetts,73
Oklahoma,72
Connecticut,71
Arkansas,71
Illinois,68
Michigan,67
Missouri,67
New York,67
West Virginia,67
Alabama,66
Utah,66
Iowa,66
Wisconsin,65
Maryland,65
Idaho,64
Indiana,63
Tennessee,63
Kansas,63
Pennsylvania,62
District of Columbia,62
South Carolina,62
Colorado,62
Texas,61
Minnesota,61
Georgia,61
Florida,60
North Carolina,60
Vermont,60
Ohio,60
Arizona,59
Washington,59
Oregon,55
New Hampshire,54
Maine,53
Montana,50
New Mexico,50
California,48
Alaska,46
Virginia,45
