Category: All categories

Region,breakup: (2012)
New York,100
Hawaii,98
Rhode Island,95
District of Columbia,91
New Jersey,90
California,89
Mississippi,89
Alaska,88
Connecticut,87
Montana,87
Louisiana,86
Virginia,85
Vermont,84
Delaware,84
Massachusetts,83
Pennsylvania,82
Maryland,82
Arizona,82
Illinois,81
Nevada,81
Arkansas,81
Utah,81
Michigan,80
Texas,80
New Hampshire,79
Washington,79
Oklahoma,78
Kentucky,78
Alabama,78
Indiana,78
Idaho,77
Colorado,77
Georgia,77
Nebraska,77
Tennessee,76
West Virginia,75
Minnesota,74
Missouri,74
Kansas,74
South Dakota,74
Wyoming,74
South Carolina,74
Ohio,73
Florida,73
Wisconsin,72
Oregon,72
North Carolina,71
Maine,71
Iowa,70
New Mexico,70
North Dakota,55
