Category: All categories

Region,Avoidant personality disorder: (2014)
Utah,100
North Dakota,
South Carolina,76
Alaska,
Arkansas,70
Indiana,67
Nebraska,67
West Virginia,67
Maine,64
Vermont,
Delaware,
Montana,
Nevada,55
Washington,55
Idaho,
Minnesota,52
Ohio,50
Michigan,50
Missouri,50
Mississippi,50
Wisconsin,50
New York,47
Pennsylvania,47
Rhode Island,
Tennessee,47
Hawaii,
Maryland,44
Massachusetts,44
District of Columbia,44
Iowa,44
Kansas,44
Alabama,44
Kentucky,44
Colorado,44
Oregon,44
Texas,41
California,41
New Jersey,41
Connecticut,41
Illinois,41
Louisiana,41
Arizona,38
Georgia,35
Florida,35
New Hampshire,35
North Carolina,35
Virginia,32
South Dakota,
Oklahoma,29
New Mexico,26
Wyoming,
