Category: All categories

Region,Avoidant personality disorder: (2020)
North Dakota,
Maine,100
Rhode Island,
Arkansas,95
New Mexico,86
Washington,82
Oregon,82
Utah,82
West Virginia,78
Vermont,
Kansas,78
Connecticut,69
Idaho,
Mississippi,69
Alaska,
Missouri,65
Louisiana,65
Minnesota,65
Arizona,65
Massachusetts,65
Illinois,65
Alabama,65
Nebraska,65
Wisconsin,60
Tennessee,60
North Carolina,60
New York,60
New Jersey,60
Indiana,60
Kentucky,56
Virginia,56
Nevada,56
Michigan,56
Pennsylvania,56
Ohio,56
Oklahoma,56
South Carolina,56
Texas,56
Colorado,56
Florida,56
Iowa,56
California,52
Delaware,
Maryland,52
Montana,
Wyoming,
Georgia,43
New Hampshire,43
South Dakota,
Hawaii,
District of Columbia,
