Category: All categories

Region,Avoidant personality disorder: (2007)
Delaware,
South Dakota,
Vermont,
Alaska,
West Virginia,100
Indiana,84
Nebraska,67
Mississippi,61
Kentucky,55
Oklahoma,50
Washington,46
Louisiana,46
Alabama,42
Maine,42
Connecticut,38
Idaho,
Arkansas,36
North Carolina,34
Nevada,34
Tennessee,32
Oregon,32
Illinois,32
Arizona,30
Maryland,30
Colorado,25
Wisconsin,25
Pennsylvania,23
Georgia,23
Iowa,23
New York,23
Texas,23
Florida,21
California,21
Minnesota,21
District of Columbia,21
Michigan,21
Massachusetts,19
Ohio,19
New Jersey,17
Kansas,17
Virginia,15
Missouri,9
Hawaii,
Montana,
North Dakota,
New Hampshire,
New Mexico,
Rhode Island,
South Carolina,
Utah,
Wyoming,
