Category: All categories

Region,Avoidant personality disorder: (2015)
Maine,100
Alaska,
Montana,
New Hampshire,80
Rhode Island,
Vermont,
Connecticut,71
Iowa,68
South Dakota,
Arkansas,62
New Mexico,60
Idaho,
West Virginia,57
Kansas,54
Indiana,54
Minnesota,54
Alabama,54
Wisconsin,51
North Carolina,51
Massachusetts,48
Pennsylvania,48
Michigan,48
Illinois,48
Hawaii,
Kentucky,45
Arizona,45
Tennessee,45
Ohio,45
Washington,45
Maryland,45
Florida,42
California,42
Nevada,42
New Jersey,42
New York,42
Colorado,42
South Carolina,42
Georgia,42
Nebraska,40
Oregon,37
Texas,37
North Dakota,
Oklahoma,34
Utah,34
Virginia,31
Wyoming,
District of Columbia,25
Louisiana,22
Missouri,20
Mississippi,14
Delaware,
